Words sorted by frequency (descending):
1. "the" - 34540 times
2. "and" - 22234 times
3. "to" - 16674 times
4. "of" - 14880 times
5. "a" - 10542 times
6. "he" - 9998 times
7. "in" - 8976 times
8. "that" - 8190 times
9. "his" - 7985 times
10. "was" - 7356 times
11. "with" - 5664 times
12. "it" - 5601 times
13. "had" - 5365 times
14. "her" - 4725 times
15. "not" - 4676 times
16. "him" - 4637 times
17. "at" - 4530 times
18. "i" - 4522 times
19. "s" - 4403 times
20. "but" - 4049 times
21. "as" - 4023 times
22. "on" - 4002 times
23. "you" - 3798 times
24. "for" - 3528 times
25. "she" - 3487 times
26. "is" - 3323 times
27. "said" - 2842 times
28. "all" - 2795 times
29. "from" - 2695 times
30. "be" - 2439 times
31. "by" - 2437 times
32. "were" - 2425 times
33. "what" - 2397 times
34. "they" - 2255 times
35. "who" - 2162 times
36. "one" - 2133 times
37. "this" - 2075 times
38. "which" - 2057 times
39. "have" - 1975 times
40. "pierre" - 1963 times
41. "prince" - 1927 times
42. "so" - 1902 times
43. "an" - 1627 times
44. "up" - 1577 times
45. "there" - 1560 times
46. "them" - 1529 times
47. "or" - 1526 times
48. "when" - 1498 times
49. "did" - 1482 times
50. "been" - 1476 times
51. "their" - 1440 times
52. "no" - 1400 times
53. "would" - 1369 times
54. "now" - 1333 times
55. "only" - 1298 times
56. "if" - 1294 times
57. "me" - 1275 times
58. "are" - 1271 times
59. "out" - 1239 times
60. "my" - 1226 times
61. "natasha" - 1212 times
62. "man" - 1190 times
63. "t" - 1159 times
64. "andrew" - 1143 times
65. "could" - 1116 times
66. "we" - 1068 times
67. "will" - 1067 times
68. "more" - 1056 times
69. "do" - 1041 times
70. "himself" - 1020 times
71. "about" - 1011 times
72. "how" - 1006 times
73. "into" - 1003 times
74. "then" - 941 times
75. "time" - 928 times
76. "princess" - 915 times
77. "face" - 891 times
78. "french" - 881 times
79. "went" - 862 times
80. "know" - 846 times
81. "some" - 845 times
82. "after" - 841 times
83. "old" - 833 times
84. "before" - 831 times
85. "eyes" - 829 times
86. "your" - 810 times
87. "very" - 803 times
88. "men" - 792 times
89. "rostov" - 776 times
90. "room" - 769 times
91. "thought" - 767 times
92. "go" - 755 times
93. "like" - 751 times
94. "well" - 746 times
95. "see" - 731 times
96. "count" - 726 times
97. "moscow" - 722 times
98. "began" - 718 times
99. "again" - 710 times
100. "has" - 705 times
101. "down" - 700 times
102. "come" - 684 times
103. "came" - 684 times
104. "still" - 676 times
105. "asked" - 668 times
106. "mary" - 668 times
107. "without" - 667 times
108. "army" - 665 times
109. "can" - 664 times
110. "same" - 663 times
111. "those" - 661 times
112. "looked" - 650 times
113. "say" - 639 times
114. "first" - 633 times
115. "nicholas" - 633 times
116. "emperor" - 631 times
117. "felt" - 631 times
118. "where" - 628 times
119. "our" - 622 times
120. "another" - 620 times
121. "life" - 617 times
122. "away" - 615 times
123. "left" - 611 times
124. "something" - 601 times
125. "over" - 599 times
126. "two" - 594 times
127. "such" - 591 times
128. "these" - 589 times
129. "napoleon" - 583 times
130. "seemed" - 582 times
131. "other" - 580 times
132. "its" - 568 times
133. "head" - 568 times
134. "just" - 568 times
135. "day" - 567 times
136. "yes" - 561 times
137. "people" - 557 times
138. "little" - 557 times
139. "am" - 552 times
140. "long" - 544 times
141. "why" - 543 times
142. "hand" - 541 times
143. "don" - 536 times
144. "than" - 533 times
145. "whole" - 532 times
146. "kutuzov" - 528 times
147. "should" - 523 times
148. "back" - 520 times
149. "even" - 510 times
150. "general" - 505 times
151. "own" - 502 times
152. "here" - 501 times
153. "heard" - 498 times
154. "good" - 496 times
155. "having" - 494 times
156. "way" - 492 times
157. "because" - 490 times
158. "countess" - 488 times
159. "look" - 476 times
160. "nothing" - 473 times
161. "must" - 472 times
162. "any" - 465 times
163. "always" - 464 times
164. "saw" - 463 times
165. "being" - 463 times
166. "made" - 461 times
167. "though" - 456 times
168. "russian" - 456 times
169. "love" - 456 times
170. "right" - 450 times
171. "sonya" - 447 times
172. "young" - 444 times
173. "officer" - 441 times
174. "father" - 435 times
175. "suddenly" - 432 times
176. "denisov" - 432 times
177. "round" - 431 times
178. "off" - 429 times
179. "moment" - 428 times
180. "voice" - 424 times
181. "us" - 423 times
182. "everything" - 417 times
183. "looking" - 415 times
184. "smile" - 415 times
185. "knew" - 413 times
186. "never" - 410 times
187. "told" - 409 times
188. "whom" - 406 times
189. "let" - 405 times
190. "while" - 399 times
191. "took" - 397 times
192. "house" - 397 times
193. "words" - 395 times
194. "much" - 394 times
195. "too" - 392 times
196. "turned" - 389 times
197. "dear" - 387 times
198. "ll" - 383 times
199. "through" - 377 times
200. "quite" - 376 times
201. "tell" - 375 times
202. "chapter" - 366 times
203. "under" - 365 times
204. "think" - 358 times
205. "once" - 357 times
206. "get" - 357 times
207. "battle" - 354 times
208. "soldiers" - 353 times
209. "take" - 353 times
210. "evidently" - 350 times
211. "understand" - 350 times
212. "last" - 347 times
213. "yet" - 347 times
214. "sat" - 345 times
215. "every" - 337 times
216. "door" - 331 times
217. "dolokhov" - 329 times
218. "herself" - 328 times
219. "already" - 325 times
220. "most" - 324 times
221. "feeling" - 320 times
222. "going" - 319 times
223. "oh" - 317 times
224. "might" - 315 times
225. "god" - 314 times
226. "behind" - 311 times
227. "place" - 310 times
228. "stood" - 308 times
229. "gave" - 306 times
230. "horse" - 304 times
231. "done" - 303 times
232. "others" - 303 times
233. "replied" - 301 times
234. "expression" - 301 times
235. "side" - 299 times
236. "commander" - 297 times
237. "war" - 296 times
238. "wife" - 296 times
239. "order" - 296 times
240. "position" - 295 times
241. "boris" - 293 times
242. "anna" - 293 times
243. "anything" - 292 times
244. "toward" - 292 times
245. "seen" - 287 times
246. "new" - 287 times
247. "give" - 278 times
248. "may" - 277 times
249. "three" - 276 times
250. "make" - 275 times
251. "put" - 271 times
252. "son" - 271 times
253. "petya" - 268 times
254. "also" - 268 times
255. "great" - 265 times
256. "enemy" - 265 times
257. "front" - 265 times
258. "chief" - 263 times
259. "ran" - 263 times
260. "hands" - 262 times
261. "troops" - 262 times
262. "both" - 261 times
263. "talk" - 254 times
264. "soon" - 253 times
265. "want" - 251 times
266. "mother" - 250 times
267. "horses" - 249 times
268. "shall" - 247 times
269. "called" - 245 times
270. "petersburg" - 245 times
271. "shouted" - 244 times
272. "taken" - 243 times
273. "vasili" - 243 times
274. "alone" - 242 times
275. "between" - 240 times
276. "word" - 234 times
277. "whether" - 234 times
278. "saying" - 233 times
279. "many" - 233 times
280. "part" - 233 times
281. "things" - 231 times
282. "officers" - 230 times
283. "thing" - 229 times
284. "letter" - 229 times
285. "mind" - 228 times
286. "everyone" - 228 times
287. "along" - 228 times
288. "regiment" - 227 times
289. "night" - 226 times
290. "table" - 225 times
291. "sent" - 224 times
292. "during" - 223 times
293. "rode" - 223 times
294. "against" - 223 times
295. "anatole" - 222 times
296. "sitting" - 221 times
297. "found" - 220 times
298. "entered" - 220 times
299. "question" - 219 times
300. "moved" - 216 times
301. "evening" - 216 times
302. "continued" - 215 times
303. "among" - 215 times
304. "morning" - 215 times
305. "speak" - 215 times
306. "drawing" - 211 times
307. "brought" - 211 times
308. "crowd" - 211 times
309. "wounded" - 210 times
310. "added" - 210 times
311. "leave" - 210 times
312. "power" - 209 times
313. "cried" - 209 times
314. "de" - 209 times
315. "near" - 207 times
316. "does" - 206 times
317. "really" - 204 times
318. "road" - 204 times
319. "got" - 203 times
320. "taking" - 203 times
321. "themselves" - 203 times
322. "orders" - 202 times
323. "ask" - 201 times
324. "soldier" - 201 times
325. "received" - 200 times
326. "white" - 198 times
327. "lay" - 198 times
328. "understood" - 198 times
329. "fire" - 198 times
330. "days" - 195 times
331. "action" - 195 times
332. "happy" - 194 times
333. "stopped" - 193 times
334. "next" - 193 times
335. "woman" - 193 times
336. "death" - 191 times
337. "fellow" - 191 times
338. "passed" - 191 times
339. "tried" - 189 times
340. "rose" - 189 times
341. "talking" - 189 times
342. "wished" - 189 times
343. "ah" - 188 times
344. "several" - 188 times
345. "since" - 188 times
346. "anyone" - 187 times
347. "movement" - 187 times
348. "friend" - 186 times
349. "wish" - 185 times
350. "beside" - 185 times
351. "end" - 184 times
352. "wanted" - 183 times
353. "each" - 182 times
354. "turning" - 181 times
355. "remained" - 180 times
356. "given" - 179 times
357. "small" - 179 times
358. "heart" - 179 times
359. "noticed" - 179 times
360. "bolkonski" - 178 times
361. "nor" - 177 times
362. "impossible" - 177 times
